Stock,dep,Year ESH,SB/SB[MSY],"SB/SB[0,eq]","SB/SB[0,dyn]",SB/SB[recover],SB/SB[lowSP],SB/SB[0.5Rmax],SB/SB[0.9R/S],n
(1) SNE yellowtail flounder,0.03,2005,0.03,0.01,0.01,0.41 (1987),0.41 (1987),0.04,0.18,1
(2) GoM Red Snapper,0.04,1990,0.12,0.02,0.03,-,-,9.35,0.65,2
(3) SA gag grouper,0.04,2019,0.19,0.04,0.04,0.27 (1988),0.2 (2006),1.38,0.2,3
(4) NAFO plaice,0.05,1994,Inf,Inf,0.02,0.11 (1976),0.42 (1993),0.03,0.07,4
(5) NAFO cod,0.08,1994,0.01,0.01,0.01,0.61 (1976),0.17 (1991),0.03,0.09,5
(6) NE Acadian redfish,0.11,1976,0.31,0.11,0.11,-,0.85 (1974),0.35,0.98,6
(7) WCVI Pacific herring,0.11,2005,1.29,0.42,0.51,0.5 (1968),1 (2005),1.11,0.24,7
(8) NAtl swordfish,0.15,1999,0.69,0.15,0.15,-,-,2.6,0.78,8
(9) US darkblotched rockfish,0.17,2003,0.62,0.17,0.21,-,-,1.6,0.65,9
(10) NEA horse mackerel,0.24,2020,0.61,0.24,0.19,0.24 (1982),-,0.74,0.47,10
(11) Atlantic bigeye tuna,0.25,2018,0.83,0.25,0.26,-,-,3.71,0.88,11
(12) SCB cowcod,0.25,2000,0.89,0.25,0.25,0.46 (1934),-,2.28,0.94,12
(13) SA red porgy,0.36,1992,0.61,0.25,0.17,-,-,0.36,0.69,13
(14) sGSL herring,0.39,2002,2.11,1.01,0.59,1.16 (1981),0.93 (1980),2.24,0.98,14
(15) GM cod,0.45,2005,0.61,0.22,0.12,1.57 (1994),1.58 (2011),1.13,1.13,15
(16) sGSL cod,0.67,1993,9.63,4.72,0.36,0.91 (1975),0.85 (1992),0.52,0.61,16
