code,Stock,Region,Time-varying productivity,Assessment Time Period,Stock-recruit relationship,ESH criteria,References
sne_yt,SNE yellowtail flounder,Southern New England,A,1973-2018,Estimated (BH),Rebuilding plan,@nefsc2022_yt
GoM_RS,GoM red snapper,Gulf of Mexico,-,1872-2016,From assessment (BH),Fishery sector closures with bag/size limits,@sedar2018
SA_gag,SA gag grouper,U.S. South Atlantic,-,1962-2019,From assessment (BH),"Stock below limit, rebuilding plan",@sedar2021
NAFO_plaice,NAFO plaice,NAFO 3LNO,AB,1960-2017,Estimated (Ri) [@zhang2020],"Catch reductions, no directed fishery",@wheeland2018
NAFO_cod,NAFO cod,NAFO 3NO,A,1959-2017,"Estimated (Ri, 1991 – 2017) [@zhang2020]",Fishery closure,@rideout2018
NE_redfish,NE Acadian redfish,New England,-,1913-2019,From assessment (BH),Low fishery CPUE and survey indices,@mayo1979; @nefsc2022_ar
ICCAT_SWO,NA swordfish,North Atlantic,-,1950-2017,From assessment (BH),Rebuilding plan,@iccat1999; @schirripa2020
WC_darkblotched,US darkblotched rockfish,U.S. West Coast,-,1915-2016,From assessment (BH),Rebuilding plan,@pfmc2004; @wallace2018
NEA_hom,NEA horse mackerel,Northeast Atlantic,-,1982-2020,"Estimated (BH, 1983 – 2020; ICES 2021a)","Stock at limit, rebuilding plan requested",@ices2021_hom; @ices2021_wgwide
WCVI_herring,WCVI Pacific herring,West Coast Vancouver Island,AB,1951-2019,From assessment (BH),Fishery closure,@cleary2019; @dfo2020
SCB_cowcod,SCB cowcod,Southern California Bight (U.S.),-,1900-2018,From assessment (BH),"Catch reductions, rebuilding plan",@dick2014; @dick2019
ICCAT_BET,Atlantic bigeye tuna,Atlantic Ocean,-,1950-2019,From assessment (BH),Rebuilding plan,@iccat2019; @anonymous2021
SA_RedPorgy,SA red porgy,U.S. South Atlantic,-,1972-2017,From assessment (BH),Rebuilding plan,@sedar2020
sGSL_herring,sGSL herring,Southern Gulf of St. Lawrence,AB,1978-2019,"Estimated (Ri, 1992 – 2017) [@turcotte2022]",Stock below limit,@turcotte2021
GoM_cod,GM cod,Gulf of Maine,AB,1982-2018,Estimated (BH),Rebuilding plan,@nefsc2022_yt
sGSL_cod,sGSL cod,Southern Gulf of St. Lawrence,AB,1971-2018,"Estimated (BH, 1989 – 2018) [@swain2019]",Fishery closure,@swain2019
EBS_cod,EBS cod,Eastern Baltic Sea,AB,1946-2021,Estimated (BH),Stock below limit,ICES (2019)
